Date,Open,High,Low,Close,Adj Close,Volume
2016-03-01,27.600000,40.799999,26.049999,37.950001,36.488186,9169052
2016-04-01,38.299999,42.549999,37.500000,37.700001,36.448353,5960656
2016-05-01,38.150002,40.500000,31.049999,34.400002,33.257915,8557257
2016-06-01,34.549999,42.000000,32.000000,37.250000,36.013294,6249072
2016-07-01,37.650002,39.500000,34.549999,36.349998,35.143173,3698927
2016-08-01,36.299999,38.500000,31.450001,31.950001,30.889256,7227760
2016-09-01,32.500000,40.500000,31.500000,34.150002,33.016216,9763482
2016-10-01,35.250000,47.500000,34.549999,41.450001,40.073856,16592894
2016-11-01,42.500000,43.799999,33.849998,41.349998,39.977169,7697151
2016-12-01,41.400002,63.849998,41.400002,56.299999,54.430832,49717154
2017-01-01,56.500000,66.400002,55.799999,59.599998,57.621269,27322529
2017-02-01,59.599998,61.299999,52.049999,53.799999,52.013832,9588407
2017-03-01,54.049999,54.900002,44.000000,48.299999,46.696430,9387641
2017-04-01,48.650002,54.799999,48.349998,50.049999,48.388336,8063577
2017-05-01,50.049999,53.700001,33.250000,36.150002,34.949814,17431902
2017-06-01,36.799999,39.650002,32.750000,33.400002,32.291115,8293702
2017-07-01,33.299999,40.900002,32.599998,39.000000,37.705193,14416672
2017-08-01,39.150002,39.150002,29.500000,32.099998,31.034275,7907197
2017-09-01,32.349998,36.900002,30.500000,31.100000,30.067478,9450011
2017-10-01,31.100000,36.650002,30.500000,33.000000,32.147572,8269936
2017-11-01,32.900002,38.349998,30.450001,35.950001,35.021370,19579598
2017-12-01,36.299999,43.799999,31.200001,40.299999,39.258999,25929749
2018-01-01,40.849998,47.200001,32.900002,34.049999,33.170444,33796235
2018-02-01,34.250000,36.099998,29.150000,34.799999,33.901070,9187033
2018-03-01,34.000000,36.900002,30.299999,30.549999,29.760855,11555597
2018-04-01,30.700001,40.400002,30.700001,37.349998,36.385201,10169173
2018-05-01,37.349998,37.799999,29.799999,30.450001,29.663439,2082230
2018-06-01,30.000000,33.650002,26.350000,30.900000,30.101814,2107883
2018-07-01,30.900000,42.200001,30.200001,40.099998,39.064167,6877759
2018-08-01,40.049999,46.450001,35.900002,40.150002,39.112881,4650795
2018-09-01,39.500000,41.900002,33.000000,33.900002,33.024323,1890370
2018-10-01,32.250000,35.400002,30.250000,34.000000,33.655033,1732651
2018-11-01,34.450001,35.349998,30.000000,30.299999,29.992573,1617445
2018-12-01,30.500000,33.900002,28.000000,30.500000,30.190544,1510976
2019-01-01,30.650000,40.450001,28.750000,39.250000,38.851765,5400818
2019-02-01,39.900002,39.900002,32.099998,37.000000,36.624596,2604291
2019-03-01,36.900002,39.200001,34.950001,36.950001,36.575104,2802134
2019-04-01,37.099998,49.000000,35.650002,42.000000,41.573864,10166585
2019-05-01,42.000000,53.099998,36.950001,53.099998,52.561245,10322435
2019-06-01,53.000000,76.400002,52.849998,74.250000,73.496658,15427558
2019-07-01,74.000000,75.000000,55.000000,58.500000,57.906456,9071928
2019-08-01,55.599998,58.400002,44.400002,50.200001,49.690670,6994190
2019-09-01,50.200001,62.299999,50.200001,51.950001,51.422913,3750680
2019-10-01,52.950001,52.950001,44.299999,46.950001,46.777676,3254757
2019-11-01,46.900002,70.000000,43.200001,69.050003,68.796562,6289788
2019-12-01,69.050003,71.949997,57.500000,70.500000,70.241234,4730323
2020-01-01,71.000000,81.000000,62.900002,76.599998,76.318848,7154583
2020-02-01,78.449997,89.349998,68.199997,68.900002,68.647110,5983185
2020-03-01,70.500000,73.849998,37.099998,48.450001,48.272171,5431300
2020-04-01,50.299999,70.199997,48.000000,67.250000,67.003166,4033638
2020-05-01,67.250000,69.000000,62.549999,68.650002,68.398026,1878725
2020-06-01,69.849998,74.900002,62.000000,71.699997,71.436829,5118939
2020-07-01,72.300003,121.949997,71.800003,118.650002,118.214508,15674550
2020-08-01,119.900002,266.250000,117.500000,228.949997,228.109665,18925576
2020-09-01,220.100006,301.950012,198.100006,291.149994,290.081360,10450529
2020-10-01,294.950012,325.549988,268.299988,325.049988,325.049988,6709636
2020-11-01,341.299988,612.650024,326.100006,612.650024,612.650024,11278142
2020-12-01,637.950012,904.900024,570.500000,673.900024,673.900024,12930107
2021-01-01,670.049988,805.000000,647.000000,678.299988,678.299988,9627758
2021-02-01,678.299988,999.500000,660.000000,896.599976,896.599976,9410101
2021-03-01,933.950012,1030.000000,784.000000,813.599976,813.599976,7387467
